name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
South Maple Avenue,0,5591429,0,1,1,155.94,,40,,residential,6,"LINESTRING (-111.9412608 33.4219305, -111.9412598 33.4219207, -111.9412565 33.4217954, -111.9412512 33.4215187, -111.9412509 33.4215015, -111.9412471 33.4213250, -111.9412463 33.4212878, -111.9412451 33.4212295, -111.9412444 33.4211997, -111.9412310 33.4205714, -111.9412299 33.4205242)",auto,1,0,,
South Maple Avenue,1,5591429,1,0,1,155.94,,40,,residential,6,"LINESTRING (-111.9412299 33.4205242, -111.9412310 33.4205714, -111.9412444 33.4211997, -111.9412451 33.4212295, -111.9412463 33.4212878, -111.9412471 33.4213250, -111.9412509 33.4215015, -111.9412512 33.4215187, -111.9412565 33.4217954, -111.9412598 33.4219207, -111.9412608 33.4219305)",auto,1,0,,
East Vista del Cerro Drive,2,5592991,2,3,1,535.48,,40,,residential,6,"LINESTRING (-111.9392768 33.4086680, -111.9391792 33.4091143, -111.9391711 33.4091754, -111.9390931 33.4101435, -111.9390073 33.4102725, -111.9388614 33.4103441, -111.9376168 33.4103728, -111.9364495 33.4103513, -111.9362693 33.4103226, -111.9361406 33.4102295, -111.9360805 33.4100862, -111.9360637 33.4099438, -111.9360118 33.4095058)",auto,1,0,,
East Vista del Cerro Drive,3,5592991,3,2,1,535.48,,40,,residential,6,"LINESTRING (-111.9360118 33.4095058, -111.9360637 33.4099438, -111.9360805 33.4100862, -111.9361406 33.4102295, -111.9362693 33.4103226, -111.9364495 33.4103513, -111.9376168 33.4103728, -111.9388614 33.4103441, -111.9390073 33.4102725, -111.9390931 33.4101435, -111.9391711 33.4091754, -111.9391792 33.4091143, -111.9392768 33.4086680)",auto,1,0,,
East Vista del Cerro Drive,4,5592994,4,5,1,335.98,,40,,residential,6,"LINESTRING (-111.9301254 33.4104444, -111.9296969 33.4104461, -111.9265120 33.4104588)",auto,1,0,,
East Vista del Cerro Drive,5,5592994,5,4,1,335.98,,40,,residential,6,"LINESTRING (-111.9265120 33.4104588, -111.9296969 33.4104461, -111.9301254 33.4104444)",auto,1,0,,
East Jen Tilly Lane,6,5593228,6,7,1,95.22,,40,,residential,6,"LINESTRING (-111.9242764 33.4118974, -111.9237971 33.4118946, -111.9236321 33.4118936, -111.9232523 33.4118914)",auto,1,0,,
East Jen Tilly Lane,7,5593228,7,6,1,95.22,,40,,residential,6,"LINESTRING (-111.9232523 33.4118914, -111.9236321 33.4118936, -111.9237971 33.4118946, -111.9242764 33.4118974)",auto,1,0,,
South Ash Avenue,8,5594960,8,9,1,124.54,1,40,,residential,6,"LINESTRING (-111.9423400 33.4136148, -111.9423490 33.4142597, -111.9423597 33.4144744, -111.9423738 33.4146487, -111.9423885 33.4146873, -111.9424188 33.4147283)",auto,1,0,,
South Ash Avenue,9,5594960,9,8,1,124.54,1,40,,residential,6,"LINESTRING (-111.9424188 33.4147283, -111.9423885 33.4146873, -111.9423738 33.4146487, -111.9423597 33.4144744, -111.9423490 33.4142597, -111.9423400 33.4136148)",auto,1,0,,
South Ash Avenue,10,5594960,9,10,1,162.48,1,40,,residential,6,"LINESTRING (-111.9424188 33.4147283, -111.9424388 33.4147724, -111.9424462 33.4148250, -111.9424521 33.4157344, -111.9424522 33.4157881, -111.9424525 33.4159781, -111.9424526 33.4160145, -111.9424528 33.4161632, -111.9424528 33.4161904)",auto,1,0,,
South Ash Avenue,11,5594960,10,9,1,162.48,1,40,,residential,6,"LINESTRING (-111.9424528 33.4161904, -111.9424528 33.4161632, -111.9424526 33.4160145, -111.9424525 33.4159781, -111.9424522 33.4157881, -111.9424521 33.4157344, -111.9424462 33.4148250, -111.9424388 33.4147724, -111.9424188 33.4147283)",auto,1,0,,
South Ash Avenue,12,5594960,10,11,1,158.31,1,40,,residential,6,"LINESTRING (-111.9424528 33.4161904, -111.9424497 33.4169032, -111.9424492 33.4170136, -111.9424525 33.4176183)",auto,1,0,,
South Ash Avenue,13,5594960,11,10,1,158.31,1,40,,residential,6,"LINESTRING (-111.9424525 33.4176183, -111.9424492 33.4170136, -111.9424497 33.4169032, -111.9424528 33.4161904)",auto,1,0,,
South Ash Avenue,14,5594960,11,12,1,160.19,1,40,,residential,6,"LINESTRING (-111.9424525 33.4176183, -111.9424524 33.4177004, -111.9424519 33.4183184, -111.9424528 33.4184029, -111.9424547 33.4186471, -111.9424582 33.4189409, -111.9424489 33.4189802, -111.9424268 33.4190138, -111.9423945 33.4190482)",auto,1,0,,
South Ash Avenue,15,5594960,12,11,1,160.19,1,40,,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9424268 33.4190138, -111.9424489 33.4189802, -111.9424582 33.4189409, -111.9424547 33.4186471, -111.9424528 33.4184029, -111.9424519 33.4183184, -111.9424524 33.4177004, -111.9424525 33.4176183)",auto,1,0,,
South Ash Avenue,16,5594960,12,13,1,153.8,1,40,,residential,6,"LINESTRING (-111.9423945 33.4190482, -111.9423684 33.4190899, -111.9423603 33.4191344, -111.9423658 33.4196106, -111.9423680 33.4197262, -111.9423711 33.4201216, -111.9423768 33.4204094, -111.9423771 33.4204294)",auto,1,0,,
South Ash Avenue,17,5594960,13,12,1,153.8,1,40,,residential,6,"LINESTRING (-111.9423771 33.4204294, -111.9423768 33.4204094, -111.9423711 33.4201216, -111.9423680 33.4197262, -111.9423658 33.4196106, -111.9423603 33.4191344, -111.9423684 33.4190899, -111.9423945 33.4190482)",auto,1,0,,
East Hayden Lane,18,5595748,14,15,1,26.36,,40,,residential,6,"LINESTRING (-111.9090835 33.4189803, -111.9089631 33.4189818, -111.9089350 33.4189821, -111.9088000 33.4189837)",auto,1,0,,
East Hayden Lane,19,5595748,15,14,1,26.36,,40,,residential,6,"LINESTRING (-111.9088000 33.4189837, -111.9089350 33.4189821, -111.9089631 33.4189818, -111.9090835 33.4189803)",auto,1,0,,
South Sierra Vista Drive,20,5597447,16,17,1,98.93,,,,residential,6,"LINESTRING (-111.9311446 33.4093331, -111.9311366 33.4087679, -111.9311795 33.4085888, -111.9312568 33.4084598)",auto,1,0,,
South Sierra Vista Drive,21,5597447,17,16,1,98.93,,,,residential,6,"LINESTRING (-111.9312568 33.4084598, -111.9311795 33.4085888, -111.9311366 33.4087679, -111.9311446 33.4093331)",auto,1,0,,
South Sierra Vista Drive,22,5597447,17,18,1,97.27,,,,residential,6,"LINESTRING (-111.9312568 33.4084598, -111.9312053 33.4083523, -111.9311280 33.4082162, -111.9311250 33.4076055)",auto,1,0,,
South Sierra Vista Drive,23,5597447,18,17,1,97.27,,,,residential,6,"LINESTRING (-111.9311250 33.4076055, -111.9311280 33.4082162, -111.9312053 33.4083523, -111.9312568 33.4084598)",auto,1,0,,
South Ve Ella Circle,24,5597818,19,20,1,86.23,,40,,residential,6,"LINESTRING (-111.9108204 33.4181290, -111.9108147 33.4175277, -111.9106650 33.4174037)",auto,1,0,,
South Ve Ella Circle,25,5597818,20,19,1,86.23,,40,,residential,6,"LINESTRING (-111.9106650 33.4174037, -111.9108147 33.4175277, -111.9108204 33.4181290)",auto,1,0,,
East 15th Street,26,5600077,21,22,1,164.64,,40,,residential,6,"LINESTRING (-111.9397324 33.4119109, -111.9391432 33.4119218, -111.9379621 33.4119438)",auto,1,0,,
East 15th Street,27,5600077,22,21,1,164.64,,40,,residential,6,"LINESTRING (-111.9379621 33.4119438, -111.9391432 33.4119218, -111.9397324 33.4119109)",auto,1,0,,
East 15th Street,28,5600077,22,23,1,129.23,,40,,residential,6,"LINESTRING (-111.9379621 33.4119438, -111.9365723 33.4119575)",auto,1,0,,
East 15th Street,29,5600077,23,22,1,129.23,,40,,residential,6,"LINESTRING (-111.9365723 33.4119575, -111.9379621 33.4119438)",auto,1,0,,
East 15th Street,30,5600077,23,24,1,152.75,,40,,residential,6,"LINESTRING (-111.9365723 33.4119575, -111.9356828 33.4119665, -111.9350331 33.4119767, -111.9349297 33.4119783)",auto,1,0,,
