name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,41533533,,,,,,,-111.9412608,33.4219305,,,
,1,7265020288,,,,,,,-111.9412299,33.4205242,,,
,2,41546636,,,,,,,-111.9392768,33.408668,,,
,3,41546640,,,,,,,-111.9360118,33.4095058,,,
,4,41546647,turning_circle,,,,,,-111.9301254,33.4104444,,,
,5,41546648,,,,,,,-111.926512,33.4104588,,,
,6,5650675608,,,,,,,-111.9242764,33.4118974,,,
,7,41548521,,,,,,,-111.9232523,33.4118914,,,
,8,41563455,,,,,,,-111.94234,33.4136148,,,
,9,41563456,,,,,,,-111.9424188,33.4147283,,,
,10,41563458,,,,,,,-111.9424528,33.4161904,,,
,11,41563460,,,,,,,-111.9424525,33.4176183,,,
,12,41563464,,,,,,,-111.9423945,33.4190482,,,
,13,7265020297,,,,,,,-111.9423771,33.4204294,,,
,14,41570712,,,,,,,-111.9090835,33.4189803,,,
,15,,,,,,,,-111.9088,33.4189837,,,boundary node created by osm2gmns
,16,5341183669,,,,,,,-111.9311446,33.4093331,,,
,17,41582913,,,,,,,-111.9312568,33.4084598,,,
,18,3872996558,,,,,,,-111.931125,33.4076055,,,
,19,41586093,turning_circle,,,,,,-111.9108204,33.418129,,,
,20,41586094,,,,,,,-111.910665,33.4174037,,,
,21,41604294,,,,,,,-111.9397324,33.4119109,,,
,22,41604295,,,,,,,-111.9379621,33.4119438,,,
,23,41604297,,,,,,,-111.9365723,33.4119575,,,
,24,41604298,,,,,,,-111.9349297,33.4119783,,,
,25,41604299,,,,,,,-111.9306853,33.4120477,,,
,26,41606207,,,,,,,-111.920965,33.4128734,,,
,27,3458373537,,,,,,,-111.920949,33.41231,,,
,28,3458373531,,,,,,,-111.9209422,33.4116865,,,
,29,41606208,,,,,,,-111.9209439,33.4113482,,,
,30,4084525371,traffic_signals,,signal,,,,-111.9226148,33.4074455,,,
,31,,,,,,,,-111.9226153,33.4071,,,boundary node created by osm2gmns
,32,41615729,,,,,,,-111.9398422,33.4086532,,,
,33,3983483486,,,,,,,-111.9397789,33.4086629,,,
,34,41615732,,,,,,,-111.9381791,33.4085985,,,
,35,41617192,,,,,,,-111.9279752,33.4075028,,,
,36,,,,,,,,-111.9279698,33.4071,,,boundary node created by osm2gmns
,37,41617200,,,,,,,-111.928383,33.4097445,,,
,38,41617201,turning_circle,,,,,,-111.9283745,33.4090473,,,
,39,316007299,,,,,,,-111.9389322,33.4153003,,,
,40,316870046,,,,,,,-111.9382922,33.4149218,,,
,41,41624258,,,,,,,-111.9373669,33.4146466,,,
,42,4346575408,,,,,,,-111.9370216,33.4146084,,,
,43,5822074196,,,,,,,-111.9176121,33.4169322,,,
,44,3641512633,,,,,,,-111.9165031,33.4169307,,,
,45,41654663,,,,,,,-111.9138914,33.4169249,,,
,46,41654666,stop,,,,,,-111.9128676,33.41707,,,
,47,41654668,stop,,,,,,-111.911792,33.4170678,,,
,48,41638532,,,,,,,-111.9091114,33.4168439,,,
,49,,,,,,,,-111.9088,33.4168459,,,boundary node created by osm2gmns
,50,330683976,traffic_signals,,signal,,,,-111.912472,33.4146766,,,
,51,9423610432,,,,,,,-111.912469,33.4135981,,,
,52,4084527689,,,,,,,-111.9132485,33.4074407,,,
,53,,,,,,,,-111.9132474,33.4071,,,boundary node created by osm2gmns
,54,41662590,traffic_signals,,signal,,,,-111.94008,33.4219347,,,
,55,9643219691,,,,,,,-111.9400639,33.4210103,,,
,56,1698683826,traffic_signals,,signal,,,,-111.9400381,33.4190674,,,
,57,41533538,,,,,,,-111.9412354,33.4190569,,,
,58,,,,,,,,-111.9436,33.4189609,,,boundary node created by osm2gmns
,59,41662601,,,,,,,-111.9398928,33.4136273,,,
,60,41695219,turning_circle,,,,,,-111.9426338,33.4136098,,,
,61,41704530,,,,,,,-111.9265323,33.408347,,,
,62,41704532,,,,,,,-111.9265339,33.4090339,,,
,63,41708464,,,,,,,-111.92199,33.4128709,,,
,64,337827148,turning_circle,,,,,,-111.9221041,33.4115127,,,
,65,41714336,traffic_signals,,signal,,,,-111.936661,33.4219091,,,
,66,8269005072,traffic_signals,,signal,,,,-111.934969,33.4219161,,,
,67,3983463708,,,,,,,-111.9352728,33.4095791,,,
,68,5341183662,,,,,,,-111.9338376,33.4093122,,,
,69,41752392,,,,,,,-111.9301152,33.4093411,,,
,70,41752397,,,,,,,-111.9301168,33.4097351,,,
,71,41752399,,,,,,,-111.929249,33.4097398,,,
,72,2300341686,crossing,,,,,,-111.926503,33.4097547,,,
,73,41763493,,,,,,,-111.9123461,33.4157894,,,
,74,330683931,traffic_signals,,signal,,,,-111.912338,33.4148643,,,
,75,3523602073,,,,,,,-111.9091721,33.4208613,,,
,76,41638521,,,,,,,-111.9090272,33.4208582,,,
,77,,,,,,,,-111.9088,33.4208579,,,boundary node created by osm2gmns
