name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,0,28821516,,,,swimming_pool,,"POLYGON ((-111.932196 33.415302, -111.932196 33.4150871, -111.9314922 33.4150871, -111.9314922 33.415302, -111.932196 33.415302))",POINT (-111.9318441 33.4151945),1559.1,16781.5
Business Administration C Wing,1,28821973,,university,,,,"POLYGON ((-111.9338446 33.4167976, -111.9335528 33.416554, -111.9338275 33.4162961, -111.934145 33.4165469, -111.9340787 33.4166022, -111.9338446 33.4167976))",POINT (-111.9338446 33.416548),1531.2,16482.0
Business Administration,2,28821988,,university,,,,"POLYGON ((-111.9342417 33.4166609, -111.9342432 33.4162508, -111.9347947 33.4162521, -111.9347933 33.4166664, -111.9345741 33.4166658, -111.9345729 33.4170029, -111.9343074 33.4170023, -111.9343086 33.416661, -111.9342417 33.4166609))",POINT (-111.9344966 33.4165642),3274.8,35250.1
Discovery Hall,3,28822011,,university,,,,"POLYGON ((-111.9351837 33.4164078, -111.9351836 33.4165885, -111.9354767 33.4165887, -111.9354767 33.4165987, -111.9355022 33.4166088, -111.935529 33.416611, -111.9355652 33.4166077, -111.9355867 33.416601, -111.9355867 33.4165875, -111.9358739 33.4165877, -111.935874 33.4164161, -111.9355965 33.416416, -111.9355965 33.416342, -111.9354641 33.4163419, -111.9354641 33.4164079, -111.9352642 33.4164078, -111.9351837 33.4164078))",POINT (-111.935525 33.416493),1370.8,14755.1
Student Services Building,4,28822055,,university,,,,"POLYGON ((-111.9361392 33.4164633, -111.9364651 33.4164655, -111.9364638 33.4165506, -111.9365147 33.4165517, -111.9365134 33.4171495, -111.9364691 33.4171495, -111.9364732 33.4175133, -111.9361419 33.4175155, -111.936141 33.4173263, -111.9361419 33.4170644, -111.9360646 33.4170396, -111.9360046 33.4169966, -111.9359526 33.4169465, -111.9359356 33.416882, -111.9359356 33.416839, -111.9359446 33.4167889, -111.9359706 33.4167387, -111.9360046 33.4166957, -111.9360646 33.4166599, -111.9361166 33.4166384, -111.9361389 33.4166324, -111.9361392 33.4164633))",POINT (-111.9362787 33.4169602),4513.7,48585.3
Interdisciplinary B Wing,5,28822061,,university,,,,"POLYGON ((-111.9360722 33.4171047, -111.9356953 33.4171016, -111.9352053 33.4170975, -111.9352053 33.4173196, -111.9354285 33.4173196, -111.9355915 33.4173196, -111.9360722 33.4173196, -111.9360722 33.4171047))",POINT (-111.9356364 33.4172103),1952.3,21014.8
Interdisciplinary A Wing,6,28822089,,university,,,,"POLYGON ((-111.9356344 33.4179142, -111.9353598 33.4179142, -111.9353598 33.4173626, -111.9354285 33.4173626, -111.9354285 33.4173196, -111.9355915 33.4173196, -111.9355915 33.4173697, -111.9356344 33.4173697, -111.935634 33.4177876, -111.9356344 33.4179142))",POINT (-111.9354974 33.4176257),1629.3,17537.5
Moeur Building,7,28822110,,university,,,,"POLYGON ((-111.935881 33.417797, -111.9361127 33.417797, -111.9361127 33.417754, -111.9362415 33.417754, -111.9362415 33.417797, -111.936456 33.417797, -111.936456 33.4181337, -111.9363359 33.4181337, -111.9363359 33.4180764, -111.9360011 33.4180764, -111.9360011 33.4181337, -111.935881 33.4181337, -111.935881 33.417797))",POINT (-111.9361688 33.4179446),1854.9,19966.4
Education Lecture Hall,8,28822160,,university,,,,"POLYGON ((-111.9377305 33.4178018, -111.9379793 33.4178001, -111.9379814 33.41802, -111.9379251 33.4180204, -111.9379256 33.4180781, -111.93779 33.418079, -111.9377895 33.4180221, -111.9377326 33.4180225, -111.9377305 33.4178018))",POINT (-111.9378561 33.4179283),645.1,6944.0
Payne Hall,9,28822195,,university,,,,"POLYGON ((-111.936783 33.4190167, -111.936781 33.4187533, -111.937133 33.4187515, -111.937255 33.4187508, -111.937301 33.4187506, -111.937727 33.4187484, -111.937729 33.4190118, -111.936783 33.4190167))",POINT (-111.937255 33.4188826),2568.5,27647.2
